donor_id,received_date,check_date,paid_out_date,gross_amount,processing_fee,net_amount,campus,campus_imputed,payment_method,week_end_sunday,
25197985,2025-05-11,,2025-05-15,102.5,-2.5,100,Bucks County Community Church,TRUE,Electronic,2025-05-11,
142658528,2025-05-11,,2025-05-15,60.99,-1.61,59.38,Bucks County Community Church,FALSE,Electronic,2025-05-11,
158515935,2025-05-11,,2025-05-15,700.3,-0.3,700,Bucks County Community Church,TRUE,Electronic,2025-05-11,
161356092,2025-05-11,,2025-05-15,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-11,
154820246,2025-05-11,,2025-05-15,50,-1.38,48.62,Bucks County Community Church,FALSE,Electronic,2025-05-11,
154995743,2025-05-11,,2025-05-15,25,-0.84,24.16,Bucks County Community Church,FALSE,Electronic,2025-05-11,
142658557,2025-05-11,,2025-05-15,82.06,-2.06,80,Bucks County Community Church,FALSE,Electronic,2025-05-11,
158638299,2025-05-11,,2025-05-15,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-11,
25197905,2025-05-11,,2025-05-15,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-11,
163260196,2025-05-11,,2025-05-15,61.62,-1.62,60,Bucks County Community Church,TRUE,Electronic,2025-05-11,
153818068,2025-05-11,,2025-05-15,100.3,-0.3,100,Bucks County Community Church,FALSE,Electronic,2025-05-11,
165773841,2025-05-11,,,40,,0,Bucks County Community Church,TRUE,Unknown,2025-05-11,
151745316,2025-05-11,,2025-05-15,290,-6.54,283.46,Bucks County Community Church,TRUE,Electronic,2025-05-11,
169085403,2025-05-11,,2025-05-15,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-11,
169086120,2025-05-11,,2025-05-15,209.81,-4.81,205,Bucks County Community Church,TRUE,Electronic,2025-05-11,
153813411,2025-05-11,,2025-05-15,400,-8.9,391.1,Bucks County Community Church,TRUE,Electronic,2025-05-11,
25197868,2025-05-11,2025-05-11,,300,,300,Bucks County Community Church,TRUE,Check,2025-05-11,
12901014,2025-05-11,2025-05-05,,400,,400,Bucks County Community Church,FALSE,Check,2025-05-11,
144770267,2025-05-11,2025-05-10,,150,,150,Bucks County Community Church,TRUE,Check,2025-05-11,
147071079,2025-05-11,2025-05-05,,150,,150,Bucks County Community Church,FALSE,Check,2025-05-11,
147878565,2025-05-11,2025-04-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
147878565,2025-05-11,2025-05-11,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
25197906,2025-05-11,2025-05-11,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
161436507,2025-05-11,2025-05-11,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-11,
142658543,2025-05-11,2025-05-11,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-11,
169147673,2025-05-11,2025-05-04,,30,,30,Bucks County Community Church,TRUE,Check,2025-05-11,
165479519,2025-05-11,2025-05-09,,230,,230,Bucks County Community Church,TRUE,Check,2025-05-11,
25198038,2025-05-11,2025-05-04,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
159845500,2025-05-11,2025-05-02,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-11,
143622757,2025-05-11,2025-05-11,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-11,
131334131,2025-05-11,2025-04-30,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
131334131,2025-05-11,2025-05-11,,400,,400,Bucks County Community Church,TRUE,Check,2025-05-11,
12900860,2025-05-11,2025-05-08,,1105,,1105,Bucks County Community Church,TRUE,Check,2025-05-11,
162923350,2025-05-11,2025-05-11,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
142658600,2025-05-11,2025-05-04,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
142658600,2025-05-11,2025-05-11,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
25198081,2025-05-11,2025-05-02,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
161221704,2025-05-11,2025-05-10,,25,,25,Bucks County Community Church,TRUE,Check,2025-05-11,
161087064,2025-05-11,2025-05-09,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-11,
13151206,2025-05-11,2025-05-06,,800,,800,Bucks County Community Church,FALSE,Check,2025-05-11,
142658626,2025-05-11,2025-05-11,,500,,500,Bucks County Community Church,TRUE,Check,2025-05-11,
